route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-303,1,,,2,,DA291C,FFFFFF
2-283,2,,,2,,65A233,FFFFFF
5-303,5,,,3,,6E6E70,FFFFFF
6-303,6,,,3,,D74100,FFFFFF
7-303,7,,,3,,D74100,FFFFFF
9-303,9,,,3,,6E6E70,FFFFFF
10-303,10,,,3,,D74100,FFFFFF
11-303,11,,,3,,D74100,FFFFFF
12-303,12,,,3,,D74100,FFFFFF
14-303,14,,,3,,D74100,FFFFFF
15-303,15,,,3,,E6E6E6,58595B
16-303,16,,,3,,6E6E70,FFFFFF
17-303,17,,,3,,E6E6E6,58595B
18-303,18,,,3,,6E6E70,FFFFFF
19-303,19,,,3,,6E6E70,FFFFFF
20-303,20,,,3,,6E6E70,FFFFFF
21-303,21,,,3,,E6E6E6,58595B
23-303,23,,,3,,E6E6E6,58595B
24-303,24,,,3,,6E6E70,FFFFFF
25-303,25,,,3,,D74100,FFFFFF
26-303,26,,,3,,6E6E70,FFFFFF
27-303,27,,,3,,E6E6E6,58595B
28-303,28,,,3,,6E6E70,FFFFFF
30-303,30,,,3,,6E6E70,FFFFFF
31-303,31,,,3,,E6E6E6,58595B
32-303,32,,,3,,E6E6E6,58595B
33-303,33,,,3,,E6E6E6,58595B
34-303,34,,,3,,6E6E70,FFFFFF
35-303,35,,,3,,6E6E70,FFFFFF
37-303,37,,,3,,E6E6E6,58595B
38-303,38,,,3,,6E6E70,FFFFFF
39-303,39,,,3,,0056B8,FFFFFF
40-303,40,,,3,,D74100,FFFFFF
42-303,42,,,3,,6E6E70,FFFFFF
44-303,44,,,3,,D74100,FFFFFF
45-303,45,,,3,,0056B8,FFFFFF
46-303,46,,,3,,6E6E70,FFFFFF
47-303,47,,,3,,E6E6E6,58595B
48-303,48,,,3,,E6E6E6,58595B
49-303,49,,,3,,E6E6E6,58595B
50-303,50,,,3,,E6E6E6,58595B
51-303,51,,,3,,D74100,FFFFFF
53-303,53,,,3,,D74100,FFFFFF
54-303,54,,,3,,6E6E70,FFFFFF
55-303,55,,,3,,6E6E70,FFFFFF
56-303,56,,,3,,E6E6E6,58595B
57-303,57,,,3,,0056B8,FFFFFF
58-303,58,,,3,,6E6E70,FFFFFF
61-303,61,,,3,,0056B8,FFFFFF
62-303,62,,,3,,0056B8,FFFFFF
63-303,63,,,3,,0056B8,FFFFFF
64-303,64,,,3,,6E6E70,FFFFFF
66-303,66,,,3,,6E6E70,FFFFFF
73-303,73,,,3,,E6E6E6,58595B
74-303,74,,,3,,0056B8,FFFFFF
75-303,75,,,3,,0056B8,FFFFFF
80-303,80,,,3,,D74100,FFFFFF
81-303,81,,,3,,6E6E70,FFFFFF
82-303,82,,,3,,6E6E70,FFFFFF
83-303,83,,,3,,6E6E70,FFFFFF
84-303,84,,,3,,6E6E70,FFFFFF
85-303,85,,,3,,D74100,FFFFFF
86-303,86,,,3,,6E6E70,FFFFFF
87-303,87,,,3,,D74100,FFFFFF
88-303,88,,,3,,D74100,FFFFFF
89-303,89,,,3,,6E6E70,FFFFFF
90-303,90,,,3,,D74100,FFFFFF
92-303,92,,,3,,6E6E70,FFFFFF
93-303,93,,,3,,6E6E70,FFFFFF
96-303,96,,,3,,6E6E70,FFFFFF
97-303,97,,,3,,0056B8,FFFFFF
98-303,98,,,3,,0056B8,FFFFFF
99-303,99,,,3,,0056B8,FFFFFF
104-303,Hurd,,,3,,,
111-303,111,,,3,,D74100,FFFFFF
114-303,114,,,3,,E6E6E6,58595B
131-303,131,,,3,,6E6E70,FFFFFF
138-303,138,,,3,,6E6E70,FFFFFF
140-303,140,,,3,,E6E6E6,58595B
141-303,141,,,3,,E6E6E6,58595B
153-303,153,,,3,,E6E6E6,58595B
154-303,154,,,3,,E6E6E6,58595B
155-303,155,,,3,,E6E6E6,58595B
158-303,158,,,3,,E6E6E6,58595B
161-303,161,,,3,,E6E6E6,58595B
162-303,162,,,3,,E6E6E6,58595B
164-303,164,,,3,,E6E6E6,58595B
165-303,165,,,3,,E6E6E6,58595B
166-303,166,,,3,,E6E6E6,58595B
167-303,167,,,3,,E6E6E6,58595B
168-303,168,,,3,,6E6E70,FFFFFF
170-303,170,,,3,,6E6E70,FFFFFF
171-303,171,,,3,,6E6E70,FFFFFF
173-303,173,,,3,,E6E6E6,58595B
175-303,175,,,3,,6E6E70,FFFFFF
176-303,176,,,3,,E6E6E6,58595B
179-303,179,,,3,,E6E6E6,58595B
186-303,186,,,3,,E6E6E6,58595B
187-303,187,,,3,,E6E6E6,58595B
190-303,190,,,3,,E6E6E6,58595B
197-303,197,,,3,,6E6E70,FFFFFF
198-303,198,,,3,,E6E6E6,58595B
199-303,199,,,3,,E6E6E6,58595B
221-303,221,,,3,,A85B8C,FFFFFF
222-303,222,,,3,,A85B8C,FFFFFF
224-303,224,,,3,,A85B8C,FFFFFF
225-303,225,,,3,,A85B8C,FFFFFF
228-303,228,,,3,,A85B8C,FFFFFF
231-303,231,,,3,,A85B8C,FFFFFF
232-303,232,,,3,,A85B8C,FFFFFF
233-303,233,,,3,,A85B8C,FFFFFF
234-303,234,,,3,,A85B8C,FFFFFF
235-303,235,,,3,,A85B8C,FFFFFF
236-303,236,,,3,,A85B8C,FFFFFF
237-303,237,,,3,,A85B8C,FFFFFF
251-303,251,,,3,,A85B8C,FFFFFF
252-303,252,,,3,,A85B8C,FFFFFF
256-303,256,,,3,,A85B8C,FFFFFF
257-303,257,,,3,,A85B8C,FFFFFF
258-303,258,,,3,,A85B8C,FFFFFF
261-303,261,,,3,,A85B8C,FFFFFF
262-303,262,,,3,,A85B8C,FFFFFF
263-303,263,,,3,,A85B8C,FFFFFF
264-303,264,,,3,,A85B8C,FFFFFF
265-303,265,,,3,,A85B8C,FFFFFF
266-303,266,,,3,,A85B8C,FFFFFF
267-303,267,,,3,,A85B8C,FFFFFF
268-303,268,,,3,,A85B8C,FFFFFF
270-303,270,,,3,,A85B8C,FFFFFF
271-303,271,,,3,,A85B8C,FFFFFF
272-303,272,,,3,,A85B8C,FFFFFF
273-303,273,,,3,,A85B8C,FFFFFF
275-303,275,,,3,,A85B8C,FFFFFF
277-303,277,,,3,,A85B8C,FFFFFF
278-303,278,,,3,,A85B8C,FFFFFF
282-303,282,,,3,,A85B8C,FFFFFF
