service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SEPT19-d1930Hoc-Weekday-05,1,1,1,1,1,0,0,20191122,20191122
SEPT19-d1900Low-Weekday-01,1,1,1,1,1,0,0,20191125,20191125
SEPT19-d1900Hoc-Weekday-01,1,1,1,1,1,0,0,20191127,20191127
SEPT19-s1000Low-Saturday-01,0,0,0,0,0,1,0,20191130,20191130
SEPT19-s1400Low-Saturday-01,0,0,0,0,0,1,0,20191130,20191130
SEPT19-s1800Low-Saturday-01,0,0,0,0,0,1,0,20191130,20191130
SEPT19-dLINE1-Weekday-02,1,1,1,1,1,0,0,20191119,20191220
SEPT19-dLINE1-Weekday-02-0000100,0,0,0,0,1,0,0,20191119,20191220
SEPT19-sLINE1-Saturday-01,0,0,0,0,0,1,0,20191123,20191221
SEPT19-uLINE1-Sunday-01,0,0,0,0,0,0,1,20191124,20191215
SEPT19-SEPDA19-Weekday-02,1,1,1,1,1,0,0,20191119,20191220
SEPT19-SEPSA19-Saturday-11,0,0,0,0,0,1,0,20191123,20191221
SEPT19-SEPSU19-Sunday-11,0,0,0,0,0,0,1,20191124,20191215
SEPT19-302Shop-Weekday-01,1,1,1,1,1,0,0,20191119,20191217
SEPT19-303Shop-Weekday-01,1,1,1,1,1,0,0,20191120,20191218
SEPT19-304Shop-Weekday-01,1,1,1,1,1,0,0,20191121,20191219
SEPT19-305Shop-Weekday-01,1,1,1,1,1,0,0,20191122,20191220
SEPT19-301Shop-Weekday-02,1,1,1,1,1,0,0,20191125,20191216
SEPT19-WOTRDA-Weekday-01,1,1,1,1,1,0,0,20191119,20191220
SEPT19-WOTRSA-Saturday-01,0,0,0,0,0,1,0,20191123,20191221
SEPT19-WOTRSU-Sunday-01,0,0,0,0,0,0,1,20191124,20191215
